"X1","X2","bigram","label"
"ad","sales","ad sales","business"
"sales","boost","sales boost","business"
"boost","time","boost time","business"
"time","warner","time warner","business"
"warner","profit","warner profit","business"
"profit","quarterly","profit quarterly","business"
"quarterly","profits","quarterly profits","business"
"profits","media","profits media","business"
"media","giant","media giant","business"
"giant","timewarner","giant timewarner","business"
"timewarner","jumped","timewarner jumped","business"
"jumped","december","jumped december","business"
"december","yearearlier","december yearearlier","business"
"yearearlier","firm","yearearlier firm","business"
"firm","biggest","firm biggest","business"
"biggest","investors","biggest investors","business"
"investors","google","investors google","business"
"google","benefited","google benefited","business"
"benefited","sales","benefited sales","business"
"sales","highspeed","sales highspeed","business"
"highspeed","internet","highspeed internet","business"
"internet","connections","internet connections","business"
"connections","advert","connections advert","business"
"advert","sales","advert sales","business"
"sales","timewarner","sales timewarner","business"
"timewarner","fourth","timewarner fourth","business"
"fourth","quarter","fourth quarter","business"
"quarter","sales","quarter sales","business"
"sales","rose","sales rose","business"
"rose","profits","rose profits","business"
"profits","buoyed","profits buoyed","business"
"buoyed","oneoff","buoyed oneoff","business"
"oneoff","gains","oneoff gains","business"
"gains","offset","gains offset","business"
"offset","profit","offset profit","business"
"profit","dip","profit dip","business"
"dip","warner","dip warner","business"
"warner","bros","warner bros","business"
"bros","users","bros users","business"
"users","aol","users aol","business"
"aol","time","aol time","business"
"time","warner","time warner","business"
"warner","friday","warner friday","business"
"friday","owns","friday owns","business"
"owns","searchengine","owns searchengine","business"
"searchengine","google","searchengine google","business"
"google","internet","google internet","business"
"internet","business","internet business","business"
"business","aol","business aol","business"
"aol","mixed","aol mixed","business"
"mixed","fortunes","mixed fortunes","business"
"fortunes","lost","fortunes lost","business"
"lost","subscribers","lost subscribers","business"
"subscribers","fourth","subscribers fourth","business"
"fourth","quarter","fourth quarter","business"
"quarter","profits","quarter profits","business"
"profits","lower","profits lower","business"
"lower","preceding","lower preceding","business"
"preceding","quarters","preceding quarters","business"
"quarters","company","quarters company","business"
"company","aols","company aols","business"
"aols","underlying","aols underlying","business"
"underlying","profit","underlying profit","business"
"profit","exceptional","profit exceptional","business"
"exceptional","items","exceptional items","business"
"items","rose","items rose","business"
"rose","stronger","rose stronger","business"
"stronger","internet","stronger internet","business"
"internet","advertising","internet advertising","business"
"advertising","revenues","advertising revenues","business"
"revenues","hopes","revenues hopes","business"
"hopes","increase","hopes increase","business"
"increase","subscribers","increase subscribers","business"
"subscribers","offering","subscribers offering","business"
"offering","online","offering online","business"
"online","service","online service","business"
"service","free","service free","business"
"free","timewarner","free timewarner","business"
"timewarner","internet","timewarner internet","business"
"internet","customers","internet customers","business"
"customers","sign","customers sign","business"
"sign","aols","sign aols","business"
"aols","existing","aols existing","business"
"existing","customers","existing customers","business"
"customers","highspeed","customers highspeed","business"
"highspeed","broadband","highspeed broadband","business"
"broadband","timewarner","broadband timewarner","business"
"timewarner","restate","timewarner restate","business"
"restate","results","restate results","business"
"results","probe","results probe","business"
"probe","securities","probe securities","business"
"securities","exchange","securities exchange","business"
"exchange","commission","exchange commission","business"
"commission","sec","commission sec","business"
"sec","close","sec close","business"
"close","concluding","close concluding","business"
"concluding","time","concluding time","business"
"time","warners","time warners","business"
"warners","fourth","warners fourth","business"
"fourth","quarter","fourth quarter","business"
"quarter","profits","quarter profits","business"
"profits","slightly","profits slightly","business"
"slightly","analysts","slightly analysts","business"
"analysts","expectations","analysts expectations","business"
"expectations","film","expectations film","business"
"film","division","film division","business"
"division","profits","division profits","business"
"profits","slump","profits slump","business"
"slump","helped","slump helped","business"
"helped","boxoffice","helped boxoffice","business"
"boxoffice","flops","boxoffice flops","business"
"flops","alexander","flops alexander","business"
"alexander","catwoman","alexander catwoman","business"
"catwoman","sharp","catwoman sharp","business"
"sharp","contrast","sharp contrast","business"
"contrast","yearearlier","contrast yearearlier","business"
"yearearlier","final","yearearlier final","business"
"final","film","final film","business"
"film","lord","film lord","business"
"lord","rings","lord rings","business"
"rings","trilogy","rings trilogy","business"
"trilogy","boosted","trilogy boosted","business"
"boosted","results","boosted results","business"
"results","fullyear","results fullyear","business"
"fullyear","timewarner","fullyear timewarner","business"
"timewarner","posted","timewarner posted","business"
"posted","profit","posted profit","business"
"profit","performance","profit performance","business"
"performance","revenues","performance revenues","business"
"revenues","grew","revenues grew","business"
"grew","financial","grew financial","business"
"financial","performance","financial performance","business"
"performance","strong","performance strong","business"
"strong","meeting","strong meeting","business"
"meeting","exceeding","meeting exceeding","business"
"exceeding","fullyear","exceeding fullyear","business"
"fullyear","objectives","fullyear objectives","business"
"objectives","greatly","objectives greatly","business"
"greatly","enhancing","greatly enhancing","business"
"enhancing","flexibility","enhancing flexibility","business"
"flexibility","chairman","flexibility chairman","business"
"chairman","chief","chairman chief","business"
"chief","executive","chief executive","business"
"executive","richard","executive richard","business"
"richard","parsons","richard parsons","business"
"parsons","timewarner","parsons timewarner","business"
"timewarner","projecting","timewarner projecting","business"
"projecting","operating","projecting operating","business"
"operating","earnings","operating earnings","business"
"earnings","growth","earnings growth","business"
"growth","expects","growth expects","business"
"expects","revenue","expects revenue","business"
"revenue","wider","revenue wider","business"
"wider","profit","wider profit","business"
"profit","margins","profit margins","business"
"margins","timewarner","margins timewarner","business"
"timewarner","restate","timewarner restate","business"
"restate","accounts","restate accounts","business"
"accounts","efforts","accounts efforts","business"
"efforts","resolve","efforts resolve","business"
"resolve","inquiry","resolve inquiry","business"
"inquiry","aol","inquiry aol","business"
"aol","market","aol market","business"
"market","regulators","market regulators","business"
"regulators","offered","regulators offered","business"
"offered","pay","offered pay","business"
"pay","settle","pay settle","business"
"settle","charges","settle charges","business"
"charges","deal","charges deal","business"
"deal","review","deal review","business"
"review","sec","review sec","business"
"sec","company","sec company","business"
"company","unable","company unable","business"
"unable","estimate","unable estimate","business"
"estimate","amount","estimate amount","business"
"amount","set","amount set","business"
"set","legal","set legal","business"
"legal","reserves","legal reserves","business"
"reserves","previously","reserves previously","business"
"previously","set","previously set","business"
"set","intends","set intends","business"
"intends","adjust","intends adjust","business"
"adjust","accounts","adjust accounts","business"
"accounts","deal","accounts deal","business"
"deal","german","deal german","business"
"german","music","german music","business"
"music","publisher","music publisher","business"
"publisher","bertelsmanns","publisher bertelsmanns","business"
"bertelsmanns","purchase","bertelsmanns purchase","business"
"purchase","stake","purchase stake","business"
"stake","aol","stake aol","business"
"aol","europe","aol europe","business"
"europe","reported","europe reported","business"
"reported","advertising","reported advertising","business"
"advertising","revenue","advertising revenue","business"
"revenue","book","revenue book","business"
"book","sale","book sale","business"
"sale","stake","sale stake","business"
"stake","aol","stake aol","business"
"aol","europe","aol europe","business"
"europe","loss","europe loss","business"
"loss","stake","loss stake","business"
"stake","dollar","stake dollar","business"
"dollar","gains","dollar gains","business"
"gains","greenspan","gains greenspan","business"
"greenspan","speech","greenspan speech","business"
"speech","dollar","speech dollar","business"
"dollar","hit","dollar hit","business"
"hit","level","hit level","business"
"level","euro","level euro","business"
"euro","federal","euro federal","business"
"federal","reserve","federal reserve","business"
"reserve","head","reserve head","business"
"head","trade","head trade","business"
"trade","deficit","trade deficit","business"
"deficit","set","deficit set","business"
